Folio,Sector al que pertenece la empresa,Productos o servicios que produce o comercializa,Número de empleados,Entidad Federativa,Ciudad o Municipio,1. ¿Usted importa o utiliza alguno de los siguientes productos que sabe vienen del extranjero?,2. ¿Cómo adquiere las materias primas o productos que provienen del extranjero?,3. Si el peso se devaluará o su proveedor le subiera los precios ¿Cuál de las siguientes expresiones se acercaría más a la conducta que tomaría? ,4. Suponga que el tipo de cambio está hoy en 20.00 pesos por dólar o que usted compra materia prima a su proveedor a un costo de 20.00 por pieza ¿Cuánto debería devaluarse el peso o cuánto deberían subirle el precio sus proveedores para que usted decida subir sus precios?,5. Una vez que la devaluación o el aumento del precio de sus proveedores ha afectado sus costos ¿Cuánto tiempo tendría que pasar para que usted decida subir sus precios?,6. Una vez que usted decide subir sus precios ¿en qué porcentaje decide subirlos?,7. Si usted sube sus precios en un 10% como consecuencia de la devaluación o de que sus proveedores subieron sus precios ¿considera que sus ventas? ,8. Si usted sube sus precios por la devaluación o porque los proveedores le subieron precios ¿cuánto tiempo considera que tendría que pasar para que se vea reflejada una caída en sus ventas?,9. ¿Ha tenido que sacrificar ganancia ofreciendo precios más bajos a cambio de seguir vendiendo?,10. Cuando tiene que bajar sus precios para no perder ventas ¿utiliza alguna de las siguientes estrategias para aumentar sus ventas?,11. Del 1 al 4 qué capacidad considera que tiene su negocio para influir en el precio de los productos de la industria a la que pertenece. ,12. ¿Cuál de las siguientes expresiones se asemeja a su forma de actuar?,"13. Considerando el potencial que tiene su negocio para producir (agroindustria y sector industrial) o generar ventas (sector servicios y comercio), usando al máximo su maquinaria, mobiliario y equipo y siendo eficiente su personal en lo más posible ¿qué porcentaje en promedio de su capacidad ha utilizado en el último año?",14. En qué porcentaje promedio considera que ha ocupado el potencial de Maquinaria y Equipo de su empresa,15. ¿En qué porcentaje promedio considera que ha ocupado el potencial del personal de su empresa?,16. ¿Cuál es la razón del por qué no utiliza toda su capacidad?,17. Usted estaría dispuesto a subir los salarios de su personal solo si:,18. La razón del por qué no invierto más en mi negocio es:,19. Cuál de las siguientes expresiones se acerca más a usted:
557,Industria,Barriles de acero mezcladores de concreto ,GRANDE,Coahuila,CD ACUÑA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
558,Comercio al por menor,Artesanías,MICRO,Campeche,SAN FRANCISCO DE CAMPECHE,Todo lo que utilizo se produce en México,SR,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",49%-25%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
559,Agricola/Ganadera,Elaboracion de alimento para ganado,MEDIANA,Chihuahua,NAMIQUIPA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
560,Industria,HIELO,MICRO,Chiapas,TUXTLA GUTIERREZ,"Servicios de tipo profesionales, logísticos u otros",Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Tengo otro tipo de inversiones, por ejemplo, en productos financieros (bancos, casas de bolsa, sociedades de inversión, etc.)",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
561,Industria,SR,MICRO,Baja California,TIJUANA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,49%-25%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
562,Servicios,Maquinados y rectificacion automotriz,MICRO,Coahuila,SALTILLO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",15% pasar de 20.00 a 23,Entre 6 y 12 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,49%-25%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
563,Servicios,pelicula y placas para artes gráficas,MICRO,Chihuahua,CHIHUAHUA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
564,Industria,SR,PEQUEÑA,Ciudad de México,IZTACALCO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Solo si mi competencia los sube yo también los subiré,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
565,Comercio al por menor,impresion,MICRO,Ciudad de México,COYOACAN,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Mejora sus estrategias de publicidad,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
566,Industria,Enzimas ,MICRO,Ciudad de México,IZTAPALAPA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Más del 15% (pasar de 20.00 a más de 23),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,No,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Tengo negocios fuera de México y prefiero invertir en ellos.,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
567,Servicios,IMPRESOS,MICRO,Ciudad de México,AZCAPOTZALCO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
568,Servicios,Laboratorio dental,MICRO,Ciudad de México,CDMX,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),De inmediato,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,No caerán,Sí,No ha usado ninguna estrategia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
569,Industria,Productos de pkastico,MICRO,Ciudad de México,COYOACAN,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
570,Servicios,Instalaciones telecomm,MEDIANA,Ciudad de México,IZTACALCO,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,"10%, pasar de 20.00 a 22",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,SR,74%-50%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
571,Industria,Impresos,PEQUEÑA,Ciudad de México,IZTAPALAPA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,1,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
572,Industria,stands displays prod mercadeo,MICRO,Ciudad de México,CDMX,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,15% pasar de 20.00 a 23,De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
573,Industria,ARTÍCULOS PARA DIBUJO,MICRO,Ciudad de México,IZTAPALAPA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","5%, es decir pasar de 20.00 a 21",Menos de 1 mes,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Ofrece crédito,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
574,Industria,Chimeneas y ductería industrial,MICRO,Ciudad de México,MIGUEL HIDALGO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
575,Servicios,venta y servicio de equipos de manejo de materiales,MICRO,Ciudad de México,GUSTAVO A MADERO,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
576,Servicios,Asesoria al sector industrial,MICRO,Chihuahua,DELICIAS,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
577,Industria,"Fabricacion, reparacion y mantenimiento de maquinaria en general",MICRO,Ciudad de México,IZTAPALAPA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","10%, pasar de 20.00 a 22",Entre 6 y 12 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,100%-75%,No lo demanda el mercado,No estoy dispuesto a subir su salario,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
578,Industria,Autopartes producidas de forja en frío,PEQUEÑA,Guanajuato,LEON,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
579,Industria,Maquinado de piezas mecánicas y artísticas,MICRO,Ciudad de México,BENITO JUAREZ,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Mejora sus estrategias de publicidad,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",49%-25%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
580,Industria,Equipos para la industria forestal y alimenticia,MICRO,Durango,DURANGO,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,15% pasar de 20.00 a 23,Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Si el salario mínimo aumenta,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
581,Industria,Masa y tortilla,PEQUEÑA,Hidalgo,PACHUCA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Tengo otro tipo de inversiones, por ejemplo, en productos financieros (bancos, casas de bolsa, sociedades de inversión, etc.)",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
582,Industria,Tostadas ytotopos,MICRO,Guerrero,ZIHUATANEJO DE AZUETA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
583,Industria,"Productos quimicos para las industrias de Textiles, Fibras y Curtiduría",MEDIANA,Hidalgo,TIZAYUCA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Tengo negocios fuera de México y prefiero invertir en ellos.,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
584,Industria,exhibidores metalicos,MEDIANA,Jalisco,ZAPOPAN,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
585,Industria,muebles de sala,GRANDE,Jalisco,ZAPOPAN,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Más de 3 y menos de 6 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Tengo otro tipo de inversiones, por ejemplo, en productos financieros (bancos, casas de bolsa, sociedades de inversión, etc.)",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
586,Industria,panificados,MICRO,Jalisco,GUADALAJARA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Solo si mi competencia los sube yo también los subiré,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
587,Industria,SR,MEDIANA,Jalisco,OCOTLAN,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","5%, es decir pasar de 20.00 a 21",Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,No ha usado ninguna estrategia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
588,Industria,"Fabricación de equipo e bombeo para combatir incendios, equipo presurización de tuberías con agua limpia",GRANDE,Jalisco,GUADALAJARA,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Si el salario mínimo aumenta,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
589,Servicios,SR,MICRO,Estado de México,TULTITLAN,Todo lo que utilizo se produce en México,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",15% pasar de 20.00 a 23,Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
590,Industria,muebles para el hogar,MEDIANA,Jalisco,GUADALAJARA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,SR
591,Industria,placa de polietileno de baja densidad,MICRO,Jalisco,TLAQUEPAQUE,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
